"cost","tick"
5.5,1.0
6.5,2.0
8.5,3.0
9.5,4.0
10.5,5.0
11.5,6.0
13.5,7.0
14.5,8.0
15.5,9.0
16.5,10.0
22.0,11.0
22.5,12.0
23.0,13.0
0.0,14.0
1.0,15.0
2.0,16.0
3.0,17.0
9.5,18.0
10.5,19.0
11.5,20.0
13.5,21.0
14.5,22.0
15.5,23.0
16.5,24.0
17.5,25.0
18.5,26.0
19.5,27.0
20.0,28.0
20.5,29.0
21.0,30.0
21.5,31.0
21.5,32.0
0.0,33.0
1.0,34.0
2.0,35.0
3.0,36.0
5.0,37.0
6.0,38.0
7.0,39.0
8.0,40.0
9.0,41.0
11.0,42.0
12.0,43.0
13.0,44.0
14.0,45.0
15.0,46.0
15.5,47.0
16.0,48.0
0.0,49.0
1.0,50.0
2.0,51.0
3.0,52.0
5.0,53.0
6.0,54.0
7.0,55.0
8.0,56.0
9.0,57.0
10.0,58.0
11.0,59.0
12.0,60.0
13.0,61.0
14.0,62.0
14.5,63.0
15.0,64.0
15.5,65.0
16.0,66.0
16.5,67.0
17.0,68.0
0.0,69.0
1.0,70.0
2.0,71.0
3.0,72.0
5.0,73.0
6.0,74.0
7.0,75.0
8.0,76.0
9.0,77.0
10.0,78.0
11.0,79.0
12.0,80.0
13.0,81.0
14.0,82.0
14.5,83.0
15.0,84.0
15.5,85.0
16.0,86.0
16.5,87.0
17.0,88.0
0.0,89.0
1.0,90.0
